PROV202;Valtejo;;;;;;;;;;;;;;;;;;x;;;;
PROV205;Porto Joao;;;;;;;;;;;;;;;;;;x;;;;
PROV199;Santo Agostiño;;;;;;;;;;;;;;;;;;x;;;;
PROV198;San Luis;;;;;;;;;;;;;;;;;;x;;;;
PROV200;Narvaez;;;;;;;;;;;;;;;;;;x;;;;
PROV2220;Lucayas;;;;;;;;;;;;;;;;;;x;;;;
PROV204;Santa María de Sália;;;;;;;;;;;;;;;;;;x;;;;
PROV2348;Silbershafen;;;;;;;;;;;;;;;;;;x;;;;
PROV2351;Magdalenien;;;;;;;;;;;;;;;;;;x;;;;
PROV2352;Silberküste;;;;;;;;;;;;;;;;;;x;;;;
PROV2354;Weißenbucht;;;;;;;;;;;;;;;;;;x;;;;
PROV2349;Föderationsburg;;;;;;;;;;;;;;;;;;x;;;;
PROV2355;Mapuchenhort;;;;;;;;;;;;;;;;;;x;;;;
PROV2345;Fort Saxonia;;;;;;;;;;;;;;;;;;x;;;;
PROV2344;Iewitenhafen;;;;;;;;;;;;;;;;;;x;;;;
PROV2360;Paranien;;;;;;;;;;;;;;;;;;x;;;;
PROV2359;Staden;;;;;;;;;;;;;;;;;;x;;;;
PROV2357;Kreuzburg;;;;;;;;;;;;;;;;;;x;;;;
PROV2358;Sankt Michael;;;;;;;;;;;;;;;;;;x;;;;
PROV2356;Taragui;;;;;;;;;;;;;;;;;;x;;;;
PROV2340;Niembukien;;;;;;;;;;;;;;;;;;x;;;;
PROV2554;Süditapua;;;;;;;;;;;;;;;;;;x;;;;
PROV2341;Norditapua;;;;;;;;;;;;;;;;;;x;;;;
PROV2342;Icuamandiu;;;;;;;;;;;;;;;;;;x;;;;
PROV2343;Guaranenfeste;;;;;;;;;;;;;;;;;;x;;;;
PROV2339;Schmidlstadt;;;;;;;;;;;;;;;;;;x;;;;
PROV2363;Flusslande;;;;;;;;;;;;;;;;;;x;;;;
PROV2350;Mapuchenfeste;;;;;;;;;;;;;;;;;;x;;;;
PROV2361;Silberland;;;;;;;;;;;;;;;;;;x;;;;
PROV2380;Neustadt;;;;;;;;;;;;;;;;;;x;;;;
PROV2381;Osttaluhetien;;;;;;;;;;;;;;;;;;x;;;;
PROV2379;Aachen in Argentinien;;;;;;;;;;;;;;;;;;x;;;;
PROV2383;Westtaluhetien;;;;;;;;;;;;;;;;;;x;;;;
PROV2378;Seestadt;;;;;;;;;;;;;;;;;;x;;;;
PROV2376;Michelsburg;;;;;;;;;;;;;;;;;;x;;;;
PROV2373;Tukuman;;;;;;;;;;;;;;;;;;x;;;;
PROV2369;Puna;;;;;;;;;;;;;;;;;;x;;;;
PROV2371;Uquia;;;;;;;;;;;;;;;;;;x;;;;
PROV2374;Ferdinandstadt;;;;;;;;;;;;;;;;;;x;;;;
PROV2375;Kapajan;;;;;;;;;;;;;;;;;;x;;;;
PROV2385;Nisanien;;;;;;;;;;;;;;;;;;x;;;;
PROV2388;Kalingien;;;;;;;;;;;;;;;;;;x;;;;
PROV2387;Johannesberg;;;;;;;;;;;;;;;;;;x;;;;
PROV2386;Ottoslande;;;;;;;;;;;;;;;;;;x;;;;
PROV2389;Grüningen;;;;;;;;;;;;;;;;;;x;;;;
PROV2322;Goldenhafen;;;;;;;;;;;;;;;;;;x;;;;
PROV2323;Herzogshütten;;;;;;;;;;;;;;;;;;x;;;;
PROV2326;Blumenhain;;;;;;;;;;;;;;;;;;x;;;;
PROV2325;Edental;;;;;;;;;;;;;;;;;;x;;;;
PROV2324;Sankt Michael;;;;;;;;;;;;;;;;;;x;;;;
PROV2330;Franzmünd;;;;;;;;;;;;;;;;;;x;;;;
PROV2327;Frankenberge;;;;;;;;;;;;;;;;;;x;;;;
PROV2329;Neu-Scherburg;;;;;;;;;;;;;;;;;;x;;;;
PROV2331;Neu-Orliens;;;;;;;;;;;;;;;;;;x;;;;
PROV2328;Rolandshöhe;;;;;;;;;;;;;;;;;;x;;;;
PROV2332;Bretonnien;;;;;;;;;;;;;;;;;;x;;;;
PROV562;Eisenach;;;;;;;;;;;;;;;;;;x;;;;
PROV3256;Mühlhausen;;;;;;;;;;;;;;;;;;x;;;;
PROV3255;Naumburg;;;;;;;;;;;;;;;;;;x;;;;
PROV560;Kamenice;;;;;;;;;;;;;;;;;;x;;;;
PROV558;Dreždany;;;;;;;;;;;;;;;;;;x;;;; 
PROV552;Chósebuz;;;;;;;;;;;;;;;;;;x;;;;
PROV549;Branagrad;;;;;;;;;;;;;;;;;;x;;;;
PROV551;Ruppin;;;;;;;;;;;;;;;;;;x;;;;
PROV550;Premyslaw;;;;;;;;;;;;;;;;;;x;;;;
PROV544;Veligrad;;;;;;;;;;;;;;;;;;x;;;;
PROV545;Strelci;;;;;;;;;;;;;;;;;;x;;;;
PROV548;Rujána;;;;;;;;;;;;;;;;;;x;;;;
PROV547;Jomsbork;;;;;;;;;;;;;;;;;;x;;;;
